datahora;Cap-SP;Cases-SP;ICU-SP;Corrected-SP;Accum Corrected-SP;Ratio-SP
2020-11-08;8376;1255.5714285714287;2975.1414285714286;9542.342857142858;122498.97142857141;0.02449463465715731
2020-11-09;8376;1163.0;2976.55;8838.8;104247.02857142857;0.028701942740246265
2020-11-10;8376;4129.571428571428;2984.304285714286;31384.742857142854;113551.6;0.026301539007241585
2020-11-11;8376;3939.0;2995.897142857143;29936.399999999998;122080.97142857143;0.02444779874768964
2020-11-12;8376;4388.0;3010.754285714286;33348.799999999996;136890.11428571428;0.021818623595544148
2020-11-13;8376;5263.714285714285;3025.305714285714;40004.22857142857;163705.0857142857;0.018279219679909215
2020-11-14;8376;5926.571428571428;3040.98;45041.94285714285;198097.25714285712;0.015150518314772125
2020-11-15;8376;6100.571428571428;3060.714285714286;46364.34285714285;234919.25714285712;0.012827815194792591
2020-11-16;8376;6205.857142857143;3080.327142857143;47164.514285714286;273244.9714285714;0.011082824714454481
2020-11-17;8376;4374.857142857143;3100.0414285714287;33248.91428571429;275109.14285714284;0.01106782554871729
2020-11-18;8376;4803.428571428572;3124.837142857143;36506.05714285714;281678.8;0.01087508183079451
2020-11-19;8376;4948.285714285715;3156.1642857142856;37606.97142857143;285936.9714285714;0.010785778564187075
2020-11-20;8376;5366.571428571428;3195.2042857142856;40785.94285714285;286718.6857142857;0.010841023750820652
2020-11-21;8376;5430.428571428572;3240.694285714286;41271.25714285714;282948.0;0.011086329268549525
2020-11-22;8376;5849.714285714285;3294.1028571428574;44457.82857142857;281041.4857142857;0.011280170649219571
2020-11-23;8376;5892.571428571428;3355.2242857142855;44783.54285714286;278660.51428571425;0.011517480138878959
2020-11-24;8376;5395.571428571428;3423.9585714285713;41006.34285714285;286417.9428571428;0.011367097968266612
2020-11-25;8376;5749.714285714285;3494.5699999999997;43697.82857142857;293609.71428571426;0.011268563793835439
2020-11-26;8376;5425.285714285715;3564.8757142857144;41232.171428571426;297234.9142857143;0.011327562749309782
2020-11-27;8376;4748.428571428572;3633.9585714285713;36088.05714285714;292537.02857142856;0.011723734062928046
2020-11-28;8376;4665.571428571428;3701.6728571428575;35458.34285714285;286724.1142857143;0.012191093228664037
2020-11-29;8376;4412.142857142857;3761.672857142857;33532.28571428571;275798.5714285714;0.012916223981861949
2020-11-30;8376;4432.571428571428;3817.98;33687.54285714286;264702.5714285714;0.013707400204125909
2020-12-01;8376;4963.714285714285;3868.94;37724.22857142857;261420.4571428571;0.014122662386460958
2020-12-02;8376;4994.285714285715;3916.328571428571;37956.57142857143;255679.19999999995;0.014675437351308412
2020-12-03;8376;5520.714285714285;3961.8185714285714;41957.428571428565;256404.45714285714;0.014855085775515506
2020-12-04;8376;6080.285714285715;4004.7571428571428;46210.171428571426;266526.57142857136;0.014489667607518096
2020-12-05;8376;6713.285714285715;4047.735714285714;51020.97142857143;282089.19999999995;0.01386553962218985
2020-12-06;8376;6755.571428571428;4094.9814285714283;51342.34285714285;299899.2571428571;0.01320088128097656
2020-12-07;8376;6746.428571428572;4141.368571428571;51272.857142857145;317484.5714285714;0.012615204698361046
2020-12-08;8376;6601.571428571428;4188.4914285714285;50171.94285714285;329932.2857142857;0.012277619489268114
2020-12-09;8376;6697.285714285715;4236.267142857143;50899.37142857143;342875.0857142857;0.011947466415924235
2020-12-10;8376;6922.714285714285;4284.9;52612.62857142857;353530.2857142857;0.01171792977468547
2020-12-11;8376;7001.857142857143;4334.511428571429;53214.114285714284;360534.2285714285;0.011620951588779493
2020-12-12;8376;6953.714285714285;4382.858571428572;52848.22857142857;362361.4857142857;0.011694469962366142
2020-12-13;8376;6705.857142857143;4429.47;50964.514285714286;361983.65714285715;0.011838682513076813
2020-12-14;8376;6876.857142857143;4476.184285714286;52264.114285714284;362974.9142857143;0.011938126403832888
2020-12-15;8376;6375.285714285715;4523.2242857142855;48452.171428571426;361255.14285714284;0.012127327387246574
2020-12-16;8376;4977.571428571428;4569.958571428571;37829.54285714286;348185.31428571424;0.012719461189573905
2020-12-17;8376;6480.0;4615.427142857143;49248.0;344820.6857142857;0.012980508248309552
